"nct_id","umc_pi","umc_sponsor","umc_resp_party","umc","is_fda_regulated_drug","is_fda_regulated_device","is_unapproved_device","is_ppsd","is_us_export","is_randomized","is_blinded","is_multicentric","is_multinational","primary_sponsor","phase","planned_enrolment","actual_enrolment","completion_date","nlm_download_date_description","study_first_submitted_date","results_first_submitted_date","disposition_first_submitted_date","last_update_submitted_date","study_first_submitted_qc_date","study_first_posted_date","study_first_posted_date_type","results_first_submitted_qc_date","results_first_posted_date","results_first_posted_date_type","disposition_first_submitted_qc_date","disposition_first_posted_date","disposition_first_posted_date_type","last_update_submitted_qc_date","last_updated","last_update_posted_date_type","start_month_year","start_date_type","start_date","verification_month_year","verification_date","completion_month_year","completion_date_type","primary_completion_month_year","primary_completion_date_type","primary_completion_date","target_duration","study_type","acronym","baseline_population","brief_title","official_title","status","last_known_status","enrollment","enrollment_type","source","limitations_and_caveats","number_of_arms","number_of_groups","why_stopped","has_expanded_access","expanded_access_type_individual","expanded_access_type_intermediate","expanded_access_type_treatment","has_dmc","biospec_retention","biospec_description","ipd_time_frame","ipd_access_criteria","ipd_url","plan_to_share_ipd","plan_to_share_ipd_description","created_at","updated_at","source_class","delayed_posting","expanded_access_nctid","expanded_access_status_for_nctid","fdaaa801_violation","baseline_type_units_analyzed","patient_registry","countries","results_reporting"
"NCT01854580","Charite","Charite","Charite","Charite",,,,,,,,FALSE,FALSE,"Non-commercial",,,3960,"2018-12-31",,"2013-04-22",,,"2019-02-13","2013-05-14","2013-05-15","ESTIMATED",,,,,,,"2019-02-13","2019-02-15","ACTUAL","2013-03",,"2013-03-31","2019-02","2019-02-28","2018-12-31","ACTUAL","2018-12-31","ACTUAL","2018-12-31",,"OBSERVATIONAL","ediva",,"Evaluation of an Integrated Care Project","Evaluation of an Integrated Care Project of the Statutory Health Insurance Techniker Krankenkasse [Evaluation Des Integrierten Versorgungsangebots Der Techniker Krankenkasse]","COMPLETED",,3960,"ACTUAL","Charite University, Berlin, Germany",,,2,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 21:45:48","2025/05/12 21:45:48","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT03620123","Duisburg-Essen",,,"Duisburg-Essen",FALSE,FALSE,,,,TRUE,FALSE,FALSE,FALSE,"Non-commercial","II",,54,"2022-06-19",,"2018-07-13",,,"2022-11-17","2018-08-07","2018-08-08","ACTUAL",,,,,,,"2022-11-17","2022-11-18","ACTUAL","2018-07-16","ACTUAL","2018-07-16","2022-11","2022-11-30","2022-06-19","ACTUAL","2021-06-20","ACTUAL","2021-06-20",,"INTERVENTIONAL","OPTIM",,"A Randomized Phase II Study on the Optimization of Immunotherapy in Squamous Carcinoma of the Head and Neck","A Randomized Phase II Study on the OPTimization of IMmunotherapy in Squamous Carcinoma of the Head and Neck","COMPLETED",,54,"ACTUAL","AIO-Studien-gGmbH",,2,,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/12 15:03:09","2025/05/12 15:03:09","OTHER",,,,,,,"Germany",FALSE
"NCT00204295",,"Münster",,"Münster",,,,,,FALSE,FALSE,FALSE,FALSE,"Non-commercial","II",,,,,"2005-09-13",,,"2006-09-13","2005-09-14","2005-09-20","ESTIMATED",,,,,,,"2006-09-13","2006-09-14","ESTIMATED","2004-01",,"2004-01-31","2006-09","2006-09-30",,,,,,,"INTERVENTIONAL",,,"Study on Amino Acid Uptake in Brain Tumors","Phase 2 Study on Brain Tumor Uptake of the Amino Acid O-(2-[F-18]Fluorethyl)-L-Tyrosin (FET)","UNKNOWN","ACTIVE_NOT_RECRUITING",60,,"University Hospital Muenster",,,,,FALSE,,,,,,,,,,,,"2025/05/11 16:50:57","2025/05/11 16:50:57","OTHER",,,,,,,"Germany",FALSE
"NCT01106365",,"Charite","Charite","Charite",,,,,,TRUE,TRUE,FALSE,FALSE,"Non-commercial",,,36,"2012-12-31",,"2010-04-16",,,"2021-07-28","2010-04-16","2010-04-19","ESTIMATED",,,,,,,"2021-07-28","2021-07-29","ACTUAL","2010-02",,"2010-02-28","2021-07","2021-07-31","2012-12","ACTUAL","2012-12","ACTUAL","2012-12-31",,"INTERVENTIONAL","rTMS in MS",,"Repetitive Deep Transcranial Magnetic Stimulation in Multiple Sclerosis","Repetitive Deep Transcranial Magnetic Stimulation in Multiple Sclerosis - A Pilot Study to Evaluate Safety and Efficacy of Deep rTMS on Fatigue and Depressivity in Patients With Multiple Sclerosis","COMPLETED",,36,"ACTUAL","Charite University, Berlin, Germany",,3,,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 00:02:44","2025/05/12 00:02:44","OTHER",,,,,,,"Germany",FALSE
"NCT05874024",,"Jena",,"Jena",FALSE,FALSE,,,,,,FALSE,FALSE,"Non-commercial",,,248,"2023-01-12",,"2023-04-13",,,"2023-05-22","2023-05-22","2023-05-24","ACTUAL",,,,,,,"2023-05-22","2023-05-24","ACTUAL","2021-01-01","ACTUAL","2021-01-01","2023-04","2023-04-30","2023-01-12","ACTUAL","2021-12-31","ACTUAL","2021-12-31",,"OBSERVATIONAL",,,"Induction of Labour With a Double Balloon Catheter","Induction of Labour With a Double Balloon Catheter - Comparison of Effectiveness of Six Versus Twelve Hours Placement: a Prospective Case Control Study","COMPLETED",,248,"ACTUAL","Jena University Hospital",,,2,,FALSE,,,,,,,,,,"NO",,"2025/05/12 21:45:48","2025/05/12 21:45:48","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT02062164","Charite;Duisburg-Essen",,,"Charite;Duisburg-Essen",,,,,,,,TRUE,FALSE,"Non-commercial",,,66,"2028-01-31",,"2013-10-22",,,"2024-05-07","2014-02-10","2014-02-13","ESTIMATED",,,,,,,"2024-05-07","2024-05-08","ACTUAL","2013-11","ACTUAL","2013-11-30","2024-05","2024-05-31","2028-01","ESTIMATED","2018-04","ACTUAL","2018-04-30",,"OBSERVATIONAL","YES",,"Weight Loss Surgery in Adolescents With Extreme Obesity","Effectiveness and Safety of Weight Loss Surgery in Adolescents With Extreme Obesity Within a Structured Pre- and Post-surgery Treatment Program, Subproject 3","ACTIVE_NOT_RECRUITING",,66,"ACTUAL","University of Ulm",,,2,,FALSE,,,,TRUE,"SAMPLES_WITH_DNA","Samples of fasting plasma, serum, DNA, urine, visceral and subcutaneous fat will be retained.",,,,,,"2025/05/12 15:03:09","2025/05/12 15:03:09","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT03257098","Würzburg",,,"Würzburg",FALSE,FALSE,,,,,FALSE,TRUE,FALSE,"Commercial","I-II",,31,"2020-06-25",,"2017-08-17",,,"2020-09-09","2017-08-17","2017-08-22","ACTUAL",,,,,,,"2020-09-09","2020-09-10","ACTUAL","2017-11-16","ACTUAL","2017-11-16","2020-09","2020-09-30","2020-06-25","ACTUAL","2020-06-25","ACTUAL","2020-06-25",,"INTERVENTIONAL",,,"Allogeneic ABCB5-positive Stem Cells for Treatment of CVU","An Interventional, Single Arm, Multicenter, Phase I/IIa Clinical Trial to Investigate the Efficacy and Safety of Allo-APZ2-CVU on Wound Healing of Chronic Venous Ulcer (CVU)","COMPLETED",,31,"ACTUAL","RHEACELL GmbH & Co. KG",,1,,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/12 00:02:44","2025/05/12 00:02:44","INDUSTRY",,,,,,,"Germany",FALSE
"NCT03787797","Duisburg-Essen","Duisburg-Essen","Duisburg-Essen","Duisburg-Essen",FALSE,FALSE,,,,,,FALSE,FALSE,"Non-commercial",,,657,"2022-08-30",,"2018-12-21",,,"2022-11-02","2018-12-21","2018-12-26","ACTUAL",,,,,,,"2022-11-02","2022-11-03","ACTUAL","2018-12-06","ACTUAL","2018-12-06","2022-11","2022-11-30","2022-08-30","ACTUAL","2020-12-14","ACTUAL","2020-12-14",,"OBSERVATIONAL","EPIC-ACS",,"Epicardial Adipose Tissue Thickness PredIcts Obstructive Coronary Artery Disease in Acute Coronary Syndrome Patients","Epicardial Adipose Tissue Thickness PredIcts Obstructive Coronary Artery Disease in Acute Coronary Syndrome Patients","COMPLETED",,657,"ACTUAL","University Hospital, Essen",,,,,FALSE,,,,FALSE,,,,,,"YES","IPD will be made available upon request.","2025/05/12 21:45:48","2025/05/12 21:45:48","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT03245138",,"Greifswald","Greifswald","Greifswald",FALSE,FALSE,,,,TRUE,TRUE,TRUE,FALSE,"Non-commercial",,100,,"2020-12-31",,"2017-07-31",,,"2018-11-05","2017-08-07","2017-08-10","ACTUAL",,,,,,,"2018-11-05","2018-11-06","ACTUAL","2016-06","ACTUAL","2016-06-30","2018-11","2018-11-30","2020-12","ESTIMATED","2018-12","ESTIMATED","2018-12-31",,"INTERVENTIONAL",,,"Endoscopic Third Ventriculostomy Versus Ventriculo-peritoneal Shunting in Idiopathic Normal Pressure Hydrocephalus","Endoscopic Third Ventriculostomy Versus Ventriculo-peritoneal Shunting in Idiopathic Normal Pressure Hydrocephalus","UNKNOWN","RECRUITING",100,"ESTIMATED","University Medicine Greifswald",,2,,,FALSE,,,,FALSE,,,,,,"UNDECIDED",,"2025/05/11 16:50:57","2025/05/11 16:50:57","OTHER",,,,,,,"Germany",FALSE
"NCT00680927","Leipzig",,,"Leipzig",,,,,,FALSE,FALSE,TRUE,TRUE,"Commercial","IV",,247,"2008-08-31",,"2008-05-15",,,"2015-06-02","2008-05-15","2008-05-20","ESTIMATED",,,,,,,"2015-06-02","2015-06-03","ESTIMATED","2007-09",,"2007-09-30","2009-01","2009-01-31","2008-08","ACTUAL","2008-08","ACTUAL","2008-08-31",,"INTERVENTIONAL",,,"Reveal® XT Performance Trial (XPECT)","Reveal® XT Performance Trial","COMPLETED",,247,"ACTUAL","Medtronic BRC",,,,,FALSE,,,,FALSE,,,,,,,,"2025/05/11 16:50:57","2025/05/11 16:50:57","INDUSTRY",,,,,,,"Austria;Belgium;Canada;Czech Republic;Germany;Netherlands;Russian Federation;Slovakia",FALSE
"NCT03211494","Dresden",,,"Dresden",FALSE,FALSE,,,,TRUE,FALSE,FALSE,FALSE,"Non-commercial",,,13,"2019-03-01",,"2017-07-06",,,"2019-03-04","2017-07-06","2017-07-07","ACTUAL",,,,,,,"2019-03-04","2019-03-05","ACTUAL","2017-11-03","ACTUAL","2017-11-03","2019-03","2019-03-31","2019-03-01","ACTUAL","2019-03-01","ACTUAL","2019-03-01",,"INTERVENTIONAL","AiRDRoP",,"Does Automated Closed-Loop Ventilation Reduce the DRiving Pressure Levels in Patients With ARDS","Does Automated Closed-Loop Ventilation Reduce the DRiving Pressure Levels in Patients With ARDS (AiRDRoP) - a Single-Center Crossover Study and Randomized Controlled Trial","TERMINATED",,13,"ACTUAL","Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)",,2,,"Unexpected low recruitment rate",FALSE,,,,FALSE,,,,,,"UNDECIDED",,"2025/05/12 21:47:13","2025/05/12 21:47:13","OTHER",,,,,,,"Netherlands",FALSE
"NCT00842920","Charite","Charite","Charite","Charite",,,,,,TRUE,TRUE,TRUE,FALSE,"Non-commercial","IV",520,,"2021-02-28",,"2009-02-11",,,"2020-01-22","2009-02-11","2009-02-12","ESTIMATED",,,,,,,"2020-01-22","2020-01-27","ACTUAL","2008-12","ACTUAL","2008-12-31","2020-01","2020-01-31","2021-02-28","ESTIMATED","2020-08-31","ESTIMATED","2020-08-31",,"INTERVENTIONAL","SIMaMCI",,"Trial of Simvastatin in Amnestic Mild Cognitive Impairment (MCI) Patients","Randomized Controlled Trial of Simvastatin in Amnestic MCI Patients","UNKNOWN","ACTIVE_NOT_RECRUITING",520,"ESTIMATED","Charite University, Berlin, Germany",,3,,,FALSE,,,,TRUE,,,,,,,,"2025/05/12 15:03:09","2025/05/12 15:03:09","OTHER",,,,,,,"Germany",FALSE
"NCT00925834","München_TU",,,"München_TU",,,,,,TRUE,TRUE,FALSE,FALSE,"Non-commercial",,,60,"2008-08-31",,"2009-06-19",,,"2009-06-19","2009-06-19","2009-06-22","ESTIMATED",,,,,,,"2009-06-19","2009-06-22","ESTIMATED","2008-07",,"2008-07-31","2009-06","2009-06-30","2008-08","ACTUAL","2008-08","ACTUAL","2008-08-31",,"INTERVENTIONAL","SUGO-KO",,"Suggestive Effects on the Diameter of Coronary Arteries","Effects of Suggestive Components of Therapeutical Interventions on the Diameter of Coronary Arteries","COMPLETED",,60,"ACTUAL","Technical University of Munich",,4,,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 21:47:13","2025/05/12 21:47:13","OTHER",,,,,,,"Germany",FALSE
"NCT01064934","Charite","Charite",,"Charite",,,,,,TRUE,FALSE,FALSE,FALSE,"Non-commercial",,,0,"2015-08-31",,"2010-02-08",,,"2015-06-03","2010-02-08","2010-02-09","ESTIMATED",,,,,,,"2015-06-03","2015-06-04","ESTIMATED","2010-09",,"2010-09-30","2010-05","2010-05-31","2015-08","ESTIMATED","2015-08","ESTIMATED","2015-08-31",,"INTERVENTIONAL","ELAILa",,"Randomized Controlled Trial of Lipid Apheresis in Patients With Elevated Lipoprotein(a)","Randomized Controlled Trial of Efficacy and Safety of Lipid Apheresis for the Prevention of Cardiovasc. Events in Patients With Progr. Cardiovasc. Disease, Lp(a)≥ 60 mg/dl and LDL-C <130 mg/dl on Maximally Tolerated Lipid-lowering Therapy","WITHDRAWN",,0,"ACTUAL","Charite University, Berlin, Germany",,2,,,FALSE,,,,TRUE,,,,,,,,"2025/05/12 21:47:13","2025/05/12 21:47:13","OTHER",,,,,,,"Germany",FALSE
"NCT05313347",,"Heidelberg","Heidelberg","Heidelberg",FALSE,FALSE,,,,,,FALSE,FALSE,"Non-commercial",,,30,"2023-10-01",,"2022-03-28",,,"2023-11-28","2022-04-05","2022-04-06","ACTUAL",,,,,,,"2023-11-28","2023-11-29","ACTUAL","2022-02-01","ACTUAL","2022-02-01","2023-11","2023-11-30","2023-10-01","ACTUAL","2023-07-01","ACTUAL","2023-07-01",,"OBSERVATIONAL","Gusto",,"Neural Correlates of Sensory Specific Satiety","A Pilot Study to Investigate Neural Processing During Sensory Specific Satiety Using Gustatory Stimulation","COMPLETED",,30,"ACTUAL","University of Heidelberg Medical Center",,,1,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/12 00:02:44","2025/05/12 00:02:44","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT04711486",,"Charite","Charite","Charite",FALSE,FALSE,,,,TRUE,TRUE,FALSE,FALSE,"Non-commercial","I",,19,"2022-01-13",,"2020-12-15",,,"2022-08-22","2021-01-13","2021-01-15","ACTUAL",,,,,,,"2022-08-22","2022-08-23","ACTUAL","2020-12-08","ACTUAL","2020-12-08","2022-08","2022-08-31","2022-01-13","ACTUAL","2022-01-13","ACTUAL","2022-01-13",,"INTERVENTIONAL",,,"Evaluation of Safety of Contraloid Acetate in Patients With Mild Cognitive Impairment Due to Alzheimer's Disease","A Single-centre, Randomized, Placebo-controlled, Double-blind, Phase 1b Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Contraloid Acetate in Patients With Mild Cognitive Impairment Due to Alzheimer's Disease","COMPLETED",,19,"ACTUAL","Charite University, Berlin, Germany",,2,,,FALSE,,,,TRUE,,,,,,"NO",,"2025/05/12 00:02:44","2025/05/12 00:02:44","OTHER",,,,,,,"Germany",FALSE
"NCT03153514","Köln",,,"Köln",FALSE,FALSE,,,,,FALSE,TRUE,FALSE,"Non-commercial","II",,3,"2019-06-06",,"2017-05-12",,,"2021-12-16","2017-05-12","2017-05-15","ACTUAL",,,,,,,"2021-12-16","2022-01-05","ACTUAL","2017-11-13","ACTUAL","2017-11-13","2019-10","2019-10-31","2019-06-06","ACTUAL","2019-05-16","ACTUAL","2019-05-16",,"INTERVENTIONAL","CLLTX1",,"Obinutuzumab Containing Conditioning Regimen for Patients With Poor Risk CLL or Richter's Transformation Requiring Allogeneic Stem Cell Transplantation","Obinutuzumab Containing Conditioning Regimen for CLL Patients and Patients With Richter's Transformation Requiring an Allogeneic Stem Cell Transplantation","TERMINATED",,3,"ACTUAL","German CLL Study Group",,1,,"Prematurely terminated due to poor accrual",FALSE,,,,TRUE,,,,,,"NO",,"2025/05/12 21:47:13","2025/05/12 21:47:13","OTHER",,,,,,,"Germany",FALSE
"NCT01355107","Freiburg","Freiburg","Freiburg","Freiburg",,,,,,,,FALSE,FALSE,"Non-commercial",,,32,"2011-12-31",,"2011-05-06",,,"2011-12-13","2011-05-16","2011-05-17","ESTIMATED",,,,,,,"2011-12-13","2011-12-14","ESTIMATED","2011-04",,"2011-04-30","2011-12","2011-12-31","2011-12","ACTUAL","2011-12","ACTUAL","2011-12-31",,"OBSERVATIONAL",,,"Comparison of Selenium Levels in HCV- Infected Patients at Different Stages of Disease","Comparison of Selenium Levels in HCV- Infected Patients at Different Stages of Disease - a Pilot Trial","COMPLETED",,32,"ACTUAL","University Hospital Freiburg",,,3,,FALSE,,,,FALSE,"SAMPLES_WITHOUT_DNA","whole blood",,,,,,"2025/05/12 00:02:44","2025/05/12 00:02:44","OTHER",,,,,,,"Germany",FALSE
